                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7058,                 4.5004,                 4.2083,                 0.0011,                0.12376,                0.00157,                0.00047,                 3.7339,                 4.4032,                 4.1552,             0.00028339,             0.00028339,             0.00028339
                      2,                 3.8943,                 4.3059,                 4.1346,                0.00159,                0.17327,                0.00335,                0.00101,                 3.7268,                 4.3709,                  4.139,             0.00056035,             0.00056035,             0.00056035
                      3,                 3.5359,                  3.886,                 3.9406,                0.00192,                0.07808,                 0.0042,                0.00121,                 3.7607,                 4.3754,                 4.1829,             0.00081354,             0.00081354,             0.00081354
                      4,                 3.3384,                 3.5922,                 3.5415,                0.00161,                0.08303,                0.00206,                 0.0007,                 3.8067,                 4.4091,                 4.2621,               0.001043,               0.001043,               0.001043
                      5,                  3.312,                 3.4305,                 3.3331,                0.00208,                0.06818,                0.00178,                0.00059,                 3.9124,                 4.5953,                 4.4722,              0.0012486,              0.0012486,              0.0012486
                      6,                 3.1392,                 3.4241,                 3.1927,                 0.0027,                0.06818,                0.00257,                0.00085,                 3.8988,                 4.5519,                 4.5045,              0.0013369,              0.0013369,              0.0013369
                      7,                 3.0649,                 3.3012,                 3.0582,                0.02873,                0.02475,                0.00493,                0.00159,                  3.589,                 4.2339,                 4.1558,              0.0013369,              0.0013369,              0.0013369
                      8,                 2.9852,                 3.2457,                 3.0232,                0.04304,                0.07808,                0.02689,                0.00965,                 2.9816,                 3.5508,                 3.4506,              0.0012709,              0.0012709,              0.0012709
                      9,                 2.8458,                 3.1664,                 2.9489,                0.13916,                0.10552,                0.04154,                0.01235,                 2.7806,                 3.4747,                 3.2828,              0.0012049,              0.0012049,              0.0012049
                     10,                 2.7554,                  3.054,                 2.8167,                0.05534,                0.17596,                0.03839,                0.01044,                 2.8415,                  3.933,                 3.1854,              0.0011389,              0.0011389,              0.0011389
                     11,                  2.691,                 2.9785,                 2.7743,                0.09855,                 0.0918,                0.06051,                0.01701,                 2.6993,                 3.2339,                 3.0828,              0.0010729,              0.0010729,              0.0010729
                     12,                  2.592,                 2.9195,                 2.6798,                0.14993,                0.21218,                0.09894,                0.03442,                 2.7065,                 3.1093,                   3.01,              0.0010069,              0.0010069,              0.0010069
                     13,                 2.5793,                 2.7957,                 2.6463,                0.16284,                0.13792,                0.08134,                0.02826,                 2.6616,                 3.1004,                 3.0087,             0.00094085,             0.00094085,             0.00094085
                     14,                  2.454,                 2.7717,                 2.5819,                0.24173,                0.18524,                0.13128,                0.04833,                 2.6351,                 3.0102,                 2.9274,             0.00087484,             0.00087484,             0.00087484
                     15,                  2.456,                 2.7109,                 2.5584,                0.19711,                0.23537,                0.14682,                0.05405,                 2.5719,                 2.9348,                 2.8613,             0.00080883,             0.00080883,             0.00080883
                     16,                 2.3023,                 2.7152,                 2.4613,                0.28111,                0.21288,                0.19053,                 0.0723,                 2.4949,                 2.8079,                 2.8673,             0.00074282,             0.00074282,             0.00074282
                     17,                 2.2172,                 2.6347,                 2.4167,                0.37614,                 0.2061,                 0.1942,                0.07468,                 2.4561,                 2.8546,                 2.8184,              0.0006768,              0.0006768,              0.0006768
                     18,                  2.197,                 2.4964,                 2.3514,                0.42868,                0.18968,                0.25405,                0.09514,                 2.4186,                 2.8695,                 2.7337,             0.00061079,             0.00061079,             0.00061079
                     19,                 2.1554,                 2.4082,                 2.3308,                0.45602,                0.28185,                0.28818,                0.11938,                  2.353,                 2.6199,                 2.6791,             0.00054478,             0.00054478,             0.00054478
                     20,                 2.1358,                 2.3689,                 2.3032,                0.42617,                0.31926,                0.27327,                0.12336,                 2.3649,                 2.5445,                 2.6911,             0.00047876,             0.00047876,             0.00047876
                     21,                 2.0972,                 2.2813,                 2.2727,                0.45042,                0.25378,                0.29915,                0.14207,                  2.326,                 2.6226,                 2.6559,             0.00041275,             0.00041275,             0.00041275
                     22,                 2.0202,                 2.2225,                 2.2366,                0.42388,                0.31712,                 0.3248,                0.15816,                 2.2535,                 2.4622,                 2.6352,             0.00034674,             0.00034674,             0.00034674
                     23,                 2.0083,                 2.2354,                 2.2319,                0.43297,                 0.3197,                0.30588,                0.15225,                 2.2773,                 2.4674,                 2.6232,             0.00028072,             0.00028072,             0.00028072
                     24,                   1.98,                  2.153,                 2.1891,                0.51344,                0.34802,                0.35777,                0.18014,                 2.2564,                 2.3621,                 2.5784,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.9303,                 2.0299,                  2.147,                0.53053,                0.32691,                0.36205,                0.17889,                 2.2149,                 2.2921,                 2.5694,              0.0001487,              0.0001487,              0.0001487
